Weekly Menu,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,"5月6日(月)
Mon","5月7日(火)
Tue",,,,,"5月8日(水)
Wed",,,,,"5月9日(木)
Thu",,,,,"5月10日(金)
Fri",,,,
Aセット,450円～,,豚肉とアスパラガスのカレー炒め,,,,¥450,チキンソテー きのこソース,,,,¥450,豚肉ニラ春雨炒め,,,,¥450,牛すき煮,,,,¥450
ごはん・汁物,,,エネルギー,蛋白質,脂質,炭水化物,塩分,エネルギー,蛋白質,脂質,炭水化物,塩分,エネルギー,蛋白質,脂質,炭水化物,塩分,エネルギー,蛋白質,脂質,炭水化物,塩分
小鉢50円1品セット,,,823,28.9,28.6,107.1,2.7,921,43.9,33.1,105.2,4.5,855,26.4,27.5,119.1,2.4,834,25.8,30.3,107.3,3.8
"Bセット
ごはん・汁物",450円～,,豚挽き肉のキム玉丼,,,,¥450,サバの味噌煮,,,,¥450,焼き鳥丼,,,,¥450,メンチカツカレー,,,,¥450
,,,エネルギー,蛋白質,脂質,炭水化物,塩分,エネルギー,蛋白質,脂質,炭水化物,塩分,エネルギー,蛋白質,脂質,炭水化物,塩分,エネルギー,蛋白質,脂質,炭水化物,塩分
"小鉢50円1品セット
●丼ものはごはん付きません●",,,815,29.5,22.2,117.3,4.5,612,21.8,11.7,104.7,3.2,846,35.6,25.9,110.4,2.4,769,16.9,20.3,126.0,5.5
カレーセット,350円,,ビーフカレー,,,,,ビーフカレー,,,,,ビーフカレー,,,,,,,,,
,,,エネルギー,蛋白質,脂質,炭水化物,塩分,エネルギー,蛋白質,脂質,炭水化物,塩分,エネルギー,蛋白質,脂質,炭水化物,塩分,エネルギー,蛋白質,脂質,炭水化物,塩分
汁物付,,,954,23.9,41.3,116.1,5.0,938,22.5,39.9,116.5,5.1,929,22.7,40.3,113.4,4.3,,,,,
"日替り
うどん・そば",350円～,,五目あんかけうどん,,,,¥350,,,,,,かき揚げうどん,,,,¥350,,,,,
,,,エネルギー,蛋白質,脂質,炭水化物,塩分,エネルギー,蛋白質,脂質,炭水化物,塩分,エネルギー,蛋白質,脂質,炭水化物,塩分,エネルギー,蛋白質,脂質,炭水化物,塩分
,,,416,18.6,2.4,85.4,4.7,,,,,,478,11.4,9.4,87.8,7.5,,,,,
,そば栄養価,,439,25.1,3.5,81.8,4.5,,,,,,501,17.9,10.6,84.2,7.3,,,,,
かけ,250円,,,,,,,かけうどん,,,,,,,,,,かけうどん,,,,
,,,エネルギー,蛋白質,脂質,炭水化物,塩分,エネルギー,蛋白質,脂質,炭水化物,塩分,エネルギー,蛋白質,脂質,炭水化物,塩分,エネルギー,蛋白質,脂質,炭水化物,塩分
うどん・そば,,,,,,,,471,35.0,3.8,74.4,12.6,,,,,,471,35.0,3.8,74.4,12.6
,そば栄養価,,,,,,,494,41.4,5.0,70.8,12.4,,,,,,494,41.4,5.0,70.8,12.4
"日替り
ラーメン・パスタ",350円～,,,,,,,味噌チャーシュー麺,,,,¥350,,,,,,塩ワンタン麺,,,,¥350
,,,エネルギー,蛋白質,脂質,炭水化物,塩分,エネルギー,蛋白質,脂質,炭水化物,塩分,エネルギー,蛋白質,脂質,炭水化物,塩分,エネルギー,蛋白質,脂質,炭水化物,塩分
,,,,,,,,432,21.7,8.4,74.5,12.0,,,,,,398,14.2,10.3,62.6,7.7
ラーメン,300円,,塩ラーメン,,,,,,,,,,醤油ラーメン,,,,,,,,,
,,,エネルギー,蛋白質,脂質,炭水化物,塩分,エネルギー,蛋白質,脂質,炭水化物,塩分,エネルギー,蛋白質,脂質,炭水化物,塩分,エネルギー,蛋白質,脂質,炭水化物,塩分
,,,366,12.8,8.8,59.6,7.2,,,,,,332,13.1,4.7,60.0,5.5,,,,,
,"50円
【単品】",,焼売,,,,,はんぺんフライ,,,,,肉じゃが,,,,,ビーンズサラダ,,,,
,,,エネルギー,蛋白質,脂質,炭水化物,塩分,エネルギー,蛋白質,脂質,炭水化物,塩分,エネルギー,蛋白質,脂質,炭水化物,塩分,エネルギー,蛋白質,脂質,炭水化物,塩分
,,,95.69,4.765,5.186,6.887,0.4,129,4.5,4.8,17.3,1.4,73,1.9,3.8,7.6,0.4,97,4.2,5.6,7.3,0.8
セット小鉢,"50円
【単品】",,ゼリー,,,,,フルーツ白玉,,,,,イカフライ,,,,,揚餃子,,,,
,,,エネルギー,蛋白質,脂質,炭水化物,塩分,エネルギー,蛋白質,脂質,炭水化物,塩分,エネルギー,蛋白質,脂質,炭水化物,塩分,エネルギー,蛋白質,脂質,炭水化物,塩分
,,,67,0.1,0.1,16.5,0.2,76,1.2,0.1,17.5,0.0,153,8.1,6.7,14.7,1.0,73,1.1,5.6,4.6,0.3
,"50円
【単品】",,納豆,,,,,冷奴,,,,,納豆,,,,,冷奴,,,,
,,,エネルギー,蛋白質,脂質,炭水化物,塩分,エネルギー,蛋白質,脂質,炭水化物,塩分,エネルギー,蛋白質,脂質,炭水化物,塩分,エネルギー,蛋白質,脂質,炭水化物,塩分
,,,100,8.3,5.0,6.1,0.6,80,7.2,4.3,3.0,0.8,100,8.3,5.0,6.1,0.6,80,7.2,4.3,3.0,0.8
ご飯・健康米,100円,"押し麦入ご飯
今週の健康米
エネルギー 蛋白質 脂質 炭水化物 塩分
398 6.9 1.1 86.8",,,,,,,,,,,"ご飯
ご飯栄養価
エネルギー 蛋白質 脂質 炭水化物 塩分
ごはん量240gで計算しています
427 7.3 1.1 92.5",,,,,,,,,
,,,エネルギー,蛋白質,脂質,炭水化物,塩分,,,,,,,,,,,エネルギー,蛋白質,脂質,炭水化物,塩分
,,,398,6.9,1.1,86.8,,,,,,,,,,,,427,7.3,1.1,92.5,
汁物,50円,,味噌汁,,,,,スープ,,,,,中華スープ,,,,,すまし汁,,,,
,,,エネルギー,蛋白質,脂質,炭水化物,塩分,エネルギー,蛋白質,脂質,炭水化物,塩分,エネルギー,蛋白質,脂質,炭水化物,塩分,エネルギー,蛋白質,脂質,炭水化物,塩分
,,,38,2.1,1.6,4.1,1.7,21,0.7,0.2,4.5,1.8,13,0.9,0.6,1.5,0.9,27,2.4,0.8,2.5,1.3
